>>System Error :: Message => require(C:\xampp\htdocs\framework\vendor/react/promise/src/functions_include.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\composer\autoload_real.php | ErrorLine  => 58 |  [ Time : 13:01 | Date : 20.02.2015 ] 
>>System Error :: Message => require(C:\xampp\htdocs\framework\vendor/react/promise/src/functions_include.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\composer\autoload_real.php | ErrorLine  => 58 |  [ Time : 13:03 | Date : 20.02.2015 ] 
>>System Error :: Message => require(C:\xampp\htdocs\framework\vendor/react/promise/src/functions_include.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\composer\autoload_real.php | ErrorLine  => 58 |  [ Time : 13:03 | Date : 20.02.2015 ] 
>>System Error :: Message => include(app/Controller/dashboard.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\App.php | ErrorLine  => 95 |  [ Time : 13:05 | Date : 20.02.2015 ] 
>>System Error :: Message => include(): Failed opening 'app/Controller/dashboard.php' for inclusion (include_path='C:\xampp\htdocs\framework\vendor/phpunit/php-text-template;C:\xampp\htdocs\framework\vendor/phpunit/php-timer;C:\xampp\htdocs\framework\vendor/phpunit/php-file-iterator;.;C:\xampp\php\PEAR') | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\App.php | ErrorLine  => 95 |  [ Time : 13:05 | Date : 20.02.2015 ] 
>>System Error :: Message => include(app/Controller/dashboard.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\App.php | ErrorLine  => 98 |  [ Time : 22:00 | Date : 20.02.2015 ] 
>>System Error :: Message => include(): Failed opening 'app/Controller/dashboard.php' for inclusion (include_path='C:\xampp\htdocs\framework\vendor/phpunit/php-text-template;C:\xampp\htdocs\framework\vendor/phpunit/php-timer;C:\xampp\htdocs\framework\vendor/phpunit/php-file-iterator;.;C:\xampp\php\PEAR') | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\App.php | ErrorLine  => 98 |  [ Time : 22:00 | Date : 20.02.2015 ] 
>>System Error :: Message => include(app/Controller/dashboard.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\App.php | ErrorLine  => 98 |  [ Time : 22:00 | Date : 20.02.2015 ] 
>>System Error :: Message => include(): Failed opening 'app/Controller/dashboard.php' for inclusion (include_path='C:\xampp\htdocs\framework\vendor/phpunit/php-text-template;C:\xampp\htdocs\framework\vendor/phpunit/php-timer;C:\xampp\htdocs\framework\vendor/phpunit/php-file-iterator;.;C:\xampp\php\PEAR') | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\App.php | ErrorLine  => 98 |  [ Time : 22:00 | Date : 20.02.2015 ] 
>>System Error :: Message => include(app/Controller/dashboard.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\App.php | ErrorLine  => 98 |  [ Time : 22:01 | Date : 20.02.2015 ] 
>>System Error :: Message => include(): Failed opening 'app/Controller/dashboard.php' for inclusion (include_path='C:\xampp\htdocs\framework\vendor/phpunit/php-text-template;C:\xampp\htdocs\framework\vendor/phpunit/php-timer;C:\xampp\htdocs\framework\vendor/phpunit/php-file-iterator;.;C:\xampp\php\PEAR') | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\App.php | ErrorLine  => 98 |  [ Time : 22:01 | Date : 20.02.2015 ] 
